PartCondition,AircraftTotalTime
CORRODED,11345.0
CORRODED,11345.0
CORRODED,11345.0
CORRODED,11345.0
CORRODED,11345.0
CORRODED,11345.0
CORRODED,11345.0
CORRODED,11345.0
CORRODED,11345.0
CORRODED,11345.0
CORRODED,11345.0
CORRODED,11345.0
CORRODED,11345.0
CORRODED,11345.0
CORRODED,11345.0
CORRODED,11345.0
CORRODED,11345.0
CORRODED,11345.0
CORRODED,11345.0
CORRODED,11345.0
CORRODED,11345.0
CORRODED,11345.0
CORRODED,11345.0
CORRODED,11345.0
CORRODED,11345.0
CORRODED,11345.0
CORRODED,11345.0
CORRODED,11345.0
CORRODED,11345.0
CORRODED,11345.0
CORRODED,11345.0
CORRODED,11345.0
CORRODED,70767.0
CORRODED,70767.0
CRACKED,18450.0
CORRODED,63764.0
CRACKED,64393.0
CRACKED,64393.0
CORRODED,60253.0
CORRODED,58618.0
CORRODED,42771.0
CORRODED,53376.0
CRACKED,56120.0
CRACKED,31892.0
CORRODED,49042.0
CORRODED,20655.0
CORRODED,20655.0
CORRODED,20655.0
CORRODED,20655.0
CRACKED,38624.0
CRACKED,5486.0
CORRODED,20466.0
CRACKED,20466.0
CORRODED,20466.0
CORRODED,20466.0
CORRODED,20466.0
CORRODED,20466.0
CORRODED,20466.0
CORRODED,20466.0
CORRODED,10764.0
CORRODED,73863.0
CORRODED,73863.0
CORRODED,73863.0
CRACKED,90583.0
CRACKED,10794.0
CORRODED,40841.0
CORRODED,40841.0
CRACKED,20466.0
CORRODED,78316.0
CRACKED,66894.0
CRACKED,66894.0
CRACKED,124974.0
CRACKED,76338.0
CRACKED,28751.0
CRACKED,45154.0
CRACKED,76120.0
CRACKED,76120.0
CORRODED,124974.0
CRACKED,45154.0
CRACKED,45154.0
CORRODED,124974.0
CORRODED,57980.0
CORRODED,57980.0
CORRODED,57980.0
CRACKED,91157.0
CRACKED,60253.0
CRACKED,64162.0
CRACKED,80609.0
CORRODED,80609.0
CORRODED,70767.0
CORRODED,70767.0
CORRODED,74346.0
CORRODED,74346.0
CORRODED,74346.0
CORRODED,74346.0
CORRODED,74346.0
CORRODED,74346.0
CORRODED,74346.0
CRACKED,71860.0
CRACKED,71860.0
CRACKED,71860.0
CRACKED,71860.0
CRACKED,71860.0
CORRODED,58694.0
CRACKED,58694.0
CRACKED,58694.0
CRACKED,58694.0
CRACKED,58694.0
CRACKED,58694.0
