PartCondition,n,percent_of_subset,mean,median,std,min,max
CORRODED,14790,54.06887475323536,47225.44496281271,42743.0,27340.803035132398,1527.0,619340.0
CRACKED,12564,45.931125246764644,52559.0776822668,56256.0,25017.566129028404,23.0,1111965.0
